Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
12,-0.752417043,0.345485415,2.057322913,-1.468643298,-1.15839368,-0.077849829,-0.608581418,0.003603484,-0.436166984,0.747730827,-0.793980603,-0.770406729,1.047626997,-1.066603681,1.106953457,1.660113557,-0.279265373,-0.419994141,0.432535349,0.263450864,0.499624955,1.353650486,-0.25657328,-0.065083708,-0.039124354,-0.087086473,-0.1809975,0.129394059,15.99,1
12,1.103215435,-0.040296215,1.267332089,1.28909147,-0.735997164,0.288069163,-0.586056786,0.189379714,0.782332892,-0.267975067,-0.45031128,0.936707715,0.708380406,-0.468647288,0.354574063,-0.246634656,-0.009212378,-0.595912406,-0.575681622,-0.113910177,-0.024612006,0.196001953,0.013801654,0.103758331,0.364297541,-0.382260574,0.092809187,0.037050517,12.99,1
13,-0.436905071,0.918966213,0.924590774,-0.727219054,0.915678718,-0.127867352,0.707641607,0.087962355,-0.665271354,-0.737979824,0.324097813,0.277192107,0.252624256,-0.29189646,-0.184520169,1.143173707,-0.928709263,0.680469593,0.025436462,-0.047021282,-0.194795824,-0.672637997,-0.156857514,-0.888386321,-0.342413219,-0.049026729,0.079692399,0.131023789,0.89,0
14,-5.401257663,-5.450147834,1.186304631,1.7362388,3.049105878,-1.763405574,-1.559737699,0.160841747,1.23308974,0.345172827,0.917229868,0.970116716,-0.266567765,-0.479129929,-0.526608503,0.472004112,-0.725480945,0.075081352,-0.406866573,-2.196848025,-0.503600329,0.984459786,2.458588576,0.042118897,-0.481630824,-0.621272014,0.39205329,0.949594246,46.8,0
15,1.492935977,-1.029345732,0.454794734,-1.43802588,-1.555434101,-0.720961147,-1.08066413,-0.053127118,-1.978681595,1.638076037,1.077542412,-0.632046515,-0.416957167,0.052010515,-0.042978923,-0.166432496,0.304241419,0.554432499,0.054229515,-0.387910173,-0.177649846,-0.175073809,0.040002219,0.295813863,0.332930599,-0.220384851,0.022298436,0.007602256,5,0
16,0.694884776,-1.361819103,1.02922104,0.834159299,-1.191208794,1.309108819,-0.878585911,0.445290128,-0.446195832,0.568520735,1.019150613,1.298328701,0.420480265,-0.372650997,-0.807979513,-2.044557483,0.515663469,0.625847298,-1.300408169,-0.13833394,-0.295582932,-0.571955007,-0.050880701,-0.304214501,0.072001006,-0.42223443,0.086553398,0.063498649,231.71,0
88012,-2.924004164,2.498492263,-1.478795584,-3.01952235,-0.153716102,-0.725759631,-0.073636675,1.45111881,0.691549434,0.154320858,-0.280822707,0.346554435,-1.302165519,1.116157633,-0.986091882,0.964808026,-0.746658934,0.063001482,-0.469510365,0.323175016,-0.340562509,-1.082363182,0.063233268,0.033830525,0.315143344,0.395381815,0.460133471,0.330210445,1,0
88013,2.136388055,-0.258520888,-2.360035784,-1.728385751,0.421642609,-1.627836188,0.662351699,-0.537078591,0.798032023,-0.602773004,1.020441251,1.454643162,0.425307936,0.896123783,0.224571611,-0.859141081,-0.503531407,0.112709825,1.258407706,-0.137314738,0.151544001,0.612034266,-0.110318705,-0.326437434,0.480900789,-0.075055121,-0.06139332,-0.087132459,18.03,0
88013,-0.53629272,1.631173878,0.251840242,0.874494458,1.825872121,-0.414932727,1.930089945,-0.645728133,-0.681491541,-0.313615168,-0.386735662,-0.612248614,-0.182484185,-1.554918964,0.129628019,-0.886874412,1.179708748,0.247298839,0.709251515,0.333375324,-0.172586978,0.079920776,-0.698466687,0.572522884,1.138407382,-0.267417944,-0.147748963,-0.303066855,11.46,0
88014,-5.16484452,4.995750214,-3.183994805,-1.344693398,-1.319684699,-1.608873622,-0.213829821,1.262028178,3.328542264,5.014488878,-1.125305798,-0.076895391,-0.989838971,0.148225212,0.818728228,-0.542029159,-0.10059457,0.03590634,-0.558862574,2.002563086,-0.153693345,0.911769218,0.232016283,-0.157284033,0.106714721,-0.229793078,1.101185421,0.203372651,0.89,0
88015,-1.011898117,1.079089625,0.100997023,-3.103648729,1.331955369,-0.423952374,1.539639586,-0.38669358,0.90163884,0.314474826,-0.270000463,-0.268379047,-0.910844325,-0.172288096,-0.899532581,0.660418749,-1.705507261,0.080582319,-0.095515297,0.425652726,-0.521469833,-0.962802194,-0.334156481,-1.41249471,0.135343825,0.396254692,0.206076507,-0.124530943,5,0
88017,-1.575922171,1.501143078,-0.359114077,-3.11768992,0.999615335,-0.513259685,1.142429716,0.055926246,0.925970736,0.403492643,-0.395793305,-0.095489172,-0.849587288,0.074769088,-0.924318427,0.758935282,-1.544503403,0.101886246,-0.130902419,0.449196553,-0.50680058,-0.998364412,-0.280492831,-1.417066848,0.207582878,0.402614631,0.183109218,-0.125722586,1,0
88018,-2.343335223,2.169379978,-0.988811497,-2.994807059,0.220374565,-0.807481957,0.461978307,0.861898593,0.507848356,0.035102702,-0.255499293,0.786473739,-0.006707008,0.599937678,-1.121312986,0.888955078,-1.097276189,-0.030896234,-0.310488611,0.362672279,-0.360352484,-0.952468085,-0.088697239,-1.052294282,0.319711653,0.442726567,0.497897192,0.321555895,5,0
88019,-2.906439785,2.592089211,-1.448750365,-3.009091807,-0.112215842,-0.896713748,0.064651958,1.304856502,0.531956525,0.123908776,-0.381420204,0.959389754,0.054417622,0.847225618,-1.146311754,0.987174875,-0.936134055,-0.009393014,-0.346265864,0.388842967,-0.344796901,-0.988405654,-0.035616352,-1.0569891,0.391675481,0.448903251,0.473184107,0.322102926,1,0
88022,-1.524100162,2.130320459,-1.601723292,-0.666980736,0.1497075,-0.891463667,0.274477801,0.777781128,0.324825085,-0.074792981,-0.803125778,0.458492986,0.531862684,-0.740703318,-0.239097207,0.438350781,0.686238803,-0.331394092,-0.422004804,0.319354839,-0.377174851,-0.905255603,0.21412928,0.497401112,-0.168996101,0.139743455,0.401321024,0.217153749,17.99,0
88022,-0.832219693,0.993834116,0.449831671,-2.687696599,0.716731367,-1.0285675,1.252832236,-0.097221908,-0.002247086,-0.757755826,0.619541184,0.794374481,0.002716056,0.240444617,-1.180002454,0.514682688,-1.159419591,-0.302311847,-0.444609897,0.057769121,-0.278208857,-0.693058701,-0.160626034,-0.326123321,-0.018926959,0.375633411,0.332138527,0.211441533,5,0
88023,-1.394907347,1.418367898,-0.010498292,-2.702246909,0.382446659,-1.116484409,0.856824837,0.34483146,0.022235013,-0.668557103,0.493929363,0.967161321,0.063956741,0.487231852,-1.204663547,0.613496707,-0.998537439,-0.281410672,-0.479788779,0.078218158,-0.264544846,-0.728473713,-0.109452159,-0.330474465,0.052926226,0.382069608,0.310332814,0.209761687,1,0
88024,-0.825311557,0.719482991,-0.921112859,-3.639467611,3.013755353,2.990435784,0.684231063,0.874726131,0.132426107,-0.900752687,-0.087349051,0.039297099,-0.477207012,0.329563297,-0.044704226,0.16967133,-0.859382742,-0.980223409,-0.976564228,0.09273089,-0.31511315,-0.901874321,-0.065162319,0.701735438,-0.00607128,0.397297158,0.353288673,0.217516217,5,0
88025,-6.532344076,5.686093236,-1.508248414,-3.106868428,1.566054572,-0.549695398,3.868154852,-3.103127548,8.955668574,13.81175777,3.424792397,-0.768670567,-0.895878846,-6.767560449,0.204635601,-1.715557995,-1.841551023,-0.840863548,-1.011024503,5.576821733,-2.319794307,-0.913814833,-0.20478601,0.454860993,0.755505966,-0.374448512,-0.282351886,-2.722134327,9.12,0
88026,-1.387999211,1.144016773,-1.381442822,-3.654017921,2.679470645,2.902518876,0.288223663,1.316779498,0.156908207,-0.811553965,-0.212960872,0.212083938,-0.415966327,0.576350532,-0.069365319,0.268485349,-0.69850059,-0.959322234,-1.01174311,0.113179927,-0.301449139,-0.937289333,-0.013988445,0.697384294,0.065781904,0.403733356,0.331482961,0.21583637,1,0
88026,-1.158868188,0.34318987,0.16155186,-0.640452267,2.241722836,-1.159429287,1.335790956,-0.310264791,-0.846139699,-0.979824376,-1.151162163,0.22707683,0.606764174,0.393903744,-0.436206979,-0.89797395,-0.252985324,-0.337922073,0.353586905,0.256998042,0.201410975,0.397663062,-0.515506787,0.544581156,1.484780028,0.046285872,-0.064298168,0.05119984,33.79,0
88027,-1.100951482,-0.326790466,-0.193842924,-0.058202475,0.657151031,-1.411979215,0.326725629,0.140625148,-1.908021599,0.078049947,-1.290053853,0.031527735,0.622294972,0.584682649,-0.443425286,-1.714706203,-0.06339729,1.082958297,-1.460344674,-0.290854999,-0.052256234,-0.192127631,-0.105529267,-0.052864241,0.532831427,-0.518954257,-0.108314332,-0.242567984,63.15,0
88029,-0.729221914,0.511380716,1.835346305,-0.604652199,-0.078964307,0.30313229,0.084679226,0.147209121,0.203268546,-0.463942572,0.440179167,1.175902798,1.172219614,-0.570644392,-0.657364468,0.700858772,-1.092279514,0.624721508,0.068654517,-0.083982383,0.150493096,0.52240266,-0.082663289,-0.290169743,-0.565710253,0.126482954,-0.095365866,0.165300621,20.81,0
88029,-1.489450011,1.464234022,-1.05483967,-0.278570485,-0.036852232,-1.355025761,0.100975138,0.42287137,0.142430141,0.028875791,-0.961866514,0.618921287,0.714251268,0.660688803,0.555777618,-0.239241029,-0.16056056,0.029273242,-0.096447904,-0.304020953,0.401266905,1.204505479,-0.079558189,0.045797618,-0.267568957,-0.173533289,-0.22410642,0.051786662,1,0
88029,-0.367108764,0.387151911,0.43419715,-0.750761266,1.078576743,0.33636128,0.605509818,0.348328419,0.078844473,-0.743982015,-0.757073113,-1.007096516,-2.591514925,0.790303899,0.674816944,-0.963446863,0.640859938,-1.823845327,-1.078517156,-0.381547179,-0.108526956,-0.299694653,0.158221062,-1.100163903,-1.028376943,0.21426918,0.149372135,0.167349154,1.79,0
88030,-1.792299586,0.058431551,0.430338825,-1.118574125,1.901118427,-1.29605415,0.3878323,-0.058757837,0.207599591,-1.113143779,-0.865178948,-0.307676133,-0.154133023,-1.385553164,-0.446099268,0.942093959,-0.033159194,0.097078042,-1.366467924,-0.235542505,-0.224125445,-0.539612,-0.512532415,0.519393831,0.955933718,0.365184388,-0.126029056,0.164025209,17.85,0
88031,1.804336243,-1.353469254,-0.549445444,-0.879733128,-0.629875778,0.735492901,-0.982546273,0.225455197,-0.086372355,0.487506737,0.118065665,0.407177803,1.179852831,-0.530202994,0.940566695,0.293744422,0.950584346,-3.05174693,-0.560783023,0.157562219,0.121460695,0.273751485,0.363624699,-1.027911913,-0.734460062,-0.402372934,0.051167598,-0.029810965,124,0
88035,-1.129973956,1.674803404,-0.893520573,-0.912671566,0.662575709,-0.611937083,0.840255482,0.154529284,0.025015285,0.168937462,1.075479832,0.062635368,-0.631057947,-0.714440093,-0.242321561,0.564389833,0.142381455,0.920404336,-0.464284536,0.173426126,0.250781591,0.942283998,-0.114904289,0.64811403,-0.505663414,0.472592472,0.050852629,0.131335952,25,0
88035,1.899816521,1.128446143,-1.658659689,4.170179844,0.912385723,-0.717601945,0.399435465,-0.105314763,-0.955587007,0.32508707,-0.493542201,-1.108922385,-1.02290226,-2.329463781,-0.458731379,1.666055858,1.496228763,0.428941403,-1.782224311,-0.279164114,-0.433864035,-1.24899127,0.32177201,-0.426474381,-0.2901883,-0.33104036,-0.005795155,0.014729862,4.85,0
88036,-1.008950519,1.243698163,-0.092227307,0.588303007,2.533364056,0.348083465,2.096182728,-0.727315921,-0.616142821,0.366073986,0.814158898,0.072177327,0.546275728,-1.839825328,-0.498587535,-0.543294065,0.457687563,0.890112814,1.318567445,0.456951891,-0.314449831,0.132094264,-0.58751306,-0.29171829,1.341720088,-0.242427981,-0.113098368,-0.514929033,45.47,0
88039,1.921723066,0.591929307,-0.921851354,3.514380473,0.720048845,0.124364251,0.231433297,-0.049102768,-1.39479307,1.703615531,0.322264145,0.303237649,0.212763598,0.556733799,-0.962324769,1.151056805,-1.270818623,0.289141567,-1.376484482,-0.256939962,0.263302294,0.748300988,0.002705008,-0.471637029,0.139629995,0.141786718,-0.046462535,-0.065954097,6.85,0
88040,-0.840164162,1.829974749,-1.401807915,-1.417179418,1.226653634,-1.442660894,1.688858554,-0.431776476,0.379579307,0.750475857,-1.409867578,-0.226140045,-0.009029874,0.370520832,-0.090346429,-0.560114447,-0.693550869,-0.242529741,0.001511631,0.471328188,0.08559278,0.725639145,-0.293839724,-0.612715338,-0.007177299,0.146315354,0.81448307,0.503875178,0.77,0
88040,-0.340736203,0.474640346,1.281327501,1.051018947,0.602744958,0.638594005,0.257759249,0.324047457,-0.077073009,-0.302394186,0.328955972,1.025768983,-0.207746444,-0.087203553,-1.632819949,-0.743579071,0.066850282,-0.145370711,1.440569881,0.049528592,-0.330317358,-0.822397577,0.245987183,0.633491476,-0.827735899,-1.05933736,0.248350468,0.215950409,19.9,0
88041,1.825307102,-0.659419011,-0.229507487,0.199867054,-0.685318146,-0.023791454,-0.648176709,0.055071783,0.828306934,0.086822318,0.720503349,1.585115376,1.384328026,-0.281455344,-0.134097719,0.826396082,-1.039344042,0.311770547,0.197780726,0.071541251,0.008471841,0.019681632,0.224004667,-0.356350466,-0.580452792,0.381807191,-0.032588612,-0.038317344,83.87,0
88042,-1.142518226,1.471701018,-1.273807939,0.683689391,2.163393104,0.121839925,1.636442276,-0.343918728,-0.29956397,0.683872074,0.600984583,0.35324592,0.649352222,-1.567934308,-0.714587454,-0.421687511,0.520533862,0.910061556,1.148426935,0.361541764,-0.208562451,0.447447235,-0.325621345,-0.291461245,0.245771714,-0.446190343,0.026853159,-0.388571975,40.41,0
88044,2.06622177,0.051613353,-1.960600039,0.148362414,0.782119909,-0.114046153,0.030051423,-0.001508075,0.333447524,-0.206249553,0.54521699,0.444205362,-0.288212715,-0.605453917,-0.35971547,0.658518691,0.068149727,0.353734966,0.513787518,-0.152652129,-0.352855629,-0.957620765,0.258738969,-0.219173837,-0.2309983,0.200139469,-0.066811896,-0.048322618,2.68,0
88045,-0.721029583,2.483233979,-0.117632145,4.186722662,0.782185756,1.514124694,-0.7415109,-2.081382333,-2.490011524,0.944506689,-1.925447975,-0.198874128,0.695854764,0.890256624,0.221133317,0.148601925,0.218558174,-0.034238907,1.475538949,0.873626294,-1.461567427,-0.121723009,0.306460508,-0.023054995,-0.843140558,0.031003589,0.308979912,0.257388029,0,0
88045,2.155043869,-0.147190825,-2.200839376,-1.538506709,0.260082633,-2.080165801,0.788316271,-0.712967286,0.946951927,-0.794020097,-0.185248737,1.206717083,0.98623949,0.617858939,0.882828756,-1.254478047,-0.086187528,-0.667518519,0.748205295,-0.144414354,0.134024128,0.643226694,-0.044199618,0.081633397,0.464709254,-0.077851795,-0.049154514,-0.073431839,11.98,0
88045,2.191167018,-0.048687904,-2.643026823,-0.356340398,1.01201947,-0.767317478,0.577054272,-0.300712864,0.272400578,0.240030171,-0.411342056,-0.327532164,-1.496942307,1.237604357,-0.060113485,0.020982805,-0.910040807,0.580475272,0.920610954,-0.296028212,0.090074762,0.314370083,-0.201851245,-1.369079624,0.540003411,0.311269079,-0.10106856,-0.106741428,0.31,0
88046,0.118400028,0.962813823,-0.570852291,-0.75630889,1.18916378,-0.254450413,0.891274061,0.052178758,-0.307331533,-0.674946793,0.647110013,0.524289822,0.186737851,-0.883092672,-0.92738162,0.648388166,-0.055141529,0.402447465,0.223450537,0.071903186,-0.312351114,-0.78881501,0.04272745,0.094936356,-0.383264299,0.121130142,0.216724008,0.070765295,9.32,0
88048,-2.017566708,2.559369377,-1.775198663,-1.712896248,0.734311477,-1.445477107,1.447336798,-0.167107328,1.267916069,2.498555279,0.478226751,-0.162673965,-1.651593358,0.535478532,-0.582456662,-0.50952725,-0.767731267,0.236250092,0.008413591,1.030862273,0.000112689,0.676063739,-0.167793816,-0.35642994,0.123166547,0.133434798,1.322744924,0.798928097,0.77,0
88048,-1.648092423,1.852336928,-1.915458981,0.000832524,-0.287995586,-1.422558997,0.025993974,0.684468862,-0.244688844,-1.02747077,-0.735154376,0.500115481,0.718912233,-0.304385972,0.642348013,0.330569271,0.98580439,0.642510393,-0.240908485,-0.708473085,0.465696699,1.053712986,0.126639598,-0.067691818,-0.315989822,-0.212033002,-0.963374415,-0.154051368,23.96,0
88049,0.989469417,-1.658778974,-2.091819135,0.79654543,-0.53226875,-0.798252453,0.614554885,-0.199738256,0.845344446,-0.881714004,1.18368336,0.561269164,-1.114010224,-0.934325863,-0.623511546,0.200986661,0.987619106,0.609232473,0.155011503,0.779771524,0.110980309,-0.633261087,-0.241099621,-0.097730077,-0.33793084,-0.158751703,-0.108548743,0.0545551,513.41,0
88050,1.986908542,0.357570994,-2.215002535,0.553764623,0.370385068,-1.554668507,0.237376582,-0.331507633,0.998129003,-1.495315931,-0.024149219,0.050235114,0.089410425,-2.760143177,0.74138477,0.550639956,1.875358213,1.166200098,-0.293770297,-0.097384334,-0.081352457,-0.009643427,0.00913876,-0.346807673,0.158941739,-0.515237981,0.052263891,0.019722964,27.74,0
88052,-0.250633745,1.256490765,-0.773638926,-0.491412129,0.708475098,-0.883938605,0.661525311,0.273503531,-0.336640687,-1.085058265,-0.721349421,0.472984525,0.894629642,-0.860753896,-0.362847441,0.423867685,0.479854956,-0.265461065,-0.232552344,-0.00146539,-0.281135418,-0.790242942,0.154671974,0.580252697,-0.363588957,0.112486297,0.101038055,0.012966422,10.99,0
88053,-0.502549188,1.739327974,-1.276360823,-0.683687216,1.287906483,-0.8825769,1.309137791,-1.185172536,-0.116967234,0.414136477,-0.73802821,0.582966779,1.029759669,0.374201506,0.081886159,-0.902118199,-0.334664478,-0.428545214,0.162029743,0.14559014,0.949610744,0.692425254,0.03637445,0.642873184,-0.551628769,-0.307255474,0.739160168,0.465551168,5.9,0
88053,-1.896218613,2.48732864,-1.558016235,-1.274278585,0.81341786,-0.366039666,0.760158788,0.17477673,1.468444696,2.11456257,0.703421547,0.398024278,-0.128734675,-1.459254241,-0.747480012,0.50486025,-0.154344997,0.328804774,-0.005259023,1.187661604,-0.599750823,-1.03184003,0.127018457,-0.052894905,0.084307648,0.169135713,1.137429725,0.678045735,3.57,0
88055,2.095934526,-0.051448144,-1.474069799,0.036231531,0.537661944,-0.244691098,0.132751042,-0.180572598,0.191075911,0.211686124,0.176728093,1.349542294,1.257070705,0.190623532,-0.700830015,0.355313165,-0.993822796,-0.155224589,0.835490551,-0.108202492,-0.295984104,-0.696571254,0.180974519,-1.068288454,-0.147531054,0.24181322,-0.068887184,-0.078702817,1.98,0
88055,-0.325589866,1.332431811,-0.389541685,-0.262191362,0.736989589,-1.279156996,1.108968234,-0.330850175,0.022653557,-0.675034645,-0.469943798,-0.353219943,-0.148039812,-0.956922848,0.761312196,-0.074177135,0.584280604,0.670835759,-0.199166807,0.003803653,0.318371264,1.086572037,-0.241367643,-0.084409733,-0.462739626,-0.166258605,0.207001462,0.313458998,10,0
88057,-0.727694169,0.341422261,0.759428335,-2.241722769,1.103268058,-0.568403009,0.976310188,-0.62482493,-1.483965356,0.200285577,-1.388106735,-0.446407711,1.769097746,-0.811391369,-0.643153614,0.713831516,-0.211247062,-1.63905495,1.219562345,0.179479837,-0.070655165,-0.052525742,-0.695072918,-0.933242677,0.926410845,-0.150318508,-0.394690764,-0.194285868,15,0
88060,-1.063266812,1.748954717,-0.702654717,-0.871866711,1.013262529,-0.630749907,1.058810501,-0.535191603,0.412069589,0.007984605,-0.901807585,-0.19760926,0.123656885,-1.300086254,-0.299892107,0.204225251,0.195967904,-0.179784607,-0.075914608,-0.208529939,-0.027124306,-0.600568643,0.158584365,0.372344114,-1.166942739,-0.12192357,-1.211469942,0.241168922,1.79,0
88061,-5.974708979,-6.275560326,2.191698584,4.262003467,8.157381454,-4.828468239,-3.654424849,0.39540318,-1.164750768,1.193858613,-1.578431389,-0.292141816,-0.013358713,0.153243843,-1.121842139,0.631981682,-0.94455633,0.106647986,-2.096557489,1.824675391,0.846030788,0.334266419,0.741980412,-0.043235131,1.398293153,0.258534653,-0.459195298,-0.03031195,10.65,0
88062,-0.40314512,1.010699097,-0.684034822,-0.981049837,0.758240439,-0.068487259,0.522272604,0.431906817,-0.255757288,-0.348061355,-0.651135566,0.340447985,-0.126468187,0.57631768,-0.991718575,0.63420587,-0.977377166,0.27042492,0.725306378,-0.138573605,-0.247601603,-0.746766255,0.005836496,-1.404998499,-0.323611744,0.198587301,-0.011348958,-2.77E-06,13.56,0
88064,-0.369981445,0.880372565,-0.228509476,-0.701955428,0.192033423,-0.711742836,0.466776521,0.462300449,-0.251346763,-0.433804629,0.112552391,0.179305639,-1.274520538,0.872785137,-0.971528934,0.382665657,-0.531367946,0.057302743,0.326804938,-0.172164075,-0.191598066,-0.6424992,0.115132899,-0.380898528,-0.49315252,0.14666033,0.105945418,0.011396867,14.99,0
88065,-0.174846273,0.115266793,0.311412698,-1.613305644,-0.138563019,-1.187673429,1.059311993,-0.391045185,-1.65920839,0.110196133,-0.732746743,-1.1435564,-0.210608965,0.176513941,0.141336776,0.64856395,0.328038404,-1.480551572,1.057204711,0.290007108,0.18843886,0.261796982,0.067848508,0.033571766,-0.210944333,-0.276970946,0.078700271,0.153844679,100,0
88066,1.95967144,-0.005240639,-1.790626401,1.228259085,0.509371743,-0.702332998,0.512435825,-0.216790247,0.139690228,0.454753431,0.132573571,0.257651106,-1.412998556,0.936046667,-1.108573219,-0.312853056,-0.509286526,0.197726116,0.282296371,-0.28014071,0.076293949,0.280861948,-0.083590686,-0.430660223,0.444689165,-0.487441783,-0.035655365,-0.072498943,40.48,0
88067,-5.722248141,5.427298613,-3.648409725,-1.361486818,-1.676476812,-1.68161031,-0.586615493,1.701636678,3.350472444,5.099497664,-1.250746572,0.093244601,-0.928579335,0.393941448,0.793613802,-0.442246443,0.059348582,0.058041591,-0.594098665,2.024240824,-0.140109479,0.879067764,0.300684931,-0.162518534,0.182629943,-0.222824607,1.079917658,0.201795853,0.89,0
